ell,Delta_Cl_over_Cl_A,Delta_Cl_over_Cl_B
1693,-0.0006867622937534673,-0.002060286881260402
1694,-0.0006871155998351853,-0.002061346799505556
1695,-0.0006874686085426246,-0.002062405825627874
1696,-0.0006878213197962935,-0.0020634639593888806
1697,-0.0006881737335171501,-0.0020645212005514497
1698,-0.0006885258496266022,-0.0020655775488798065
1699,-0.000688877668046508,-0.002066633004139524
1700,-0.0006892291886991728,-0.002067687566097518
1701,-0.0006895804115073505,-0.0020687412345220518
1702,-0.0006899313363942419,-0.0020697940091827256
1703,-0.0006902819632834935,-0.00207084588985048
1704,-0.0006906322920991985,-0.0020718968762975954
1705,-0.0006909823227658944,-0.0020729469682976833
1706,-0.000691332055208563,-0.0020739961656256888
1707,-0.00069168148935263,-0.00207504446805789
1708,-0.0006920306251239636,-0.002076091875371891
1709,-0.0006923794624488745,-0.002077138387346623
1710,-0.0006927280012541142,-0.0020781840037623427
1711,-0.0006930762414668758,-0.0020792287244006274
1712,-0.000693424183014792,-0.0020802725490443757
1713,-0.000693771825825935,-0.002081315477477805
1714,-0.0006941191698288155,-0.0020823575094864465
1715,-0.0006944662149523824,-0.002083398644857147
1716,-0.0006948129611260218,-0.0020844388833780652
1717,-0.0006951594082795567,-0.00208547822483867
1718,-0.0006955055563432454,-0.002086516669029736
1719,-0.0006958514052477821,-0.002087554215743346
1720,-0.0006961969549242951,-0.0020885908647728852
1721,-0.0006965422053043464,-0.002089626615913039
1722,-0.0006968871563199319,-0.0020906614689597956
1723,-0.0006972318079034793,-0.002091695423710438
1724,-0.0006975761599878484,-0.002092728479963545
1725,-0.0006979202125063297,-0.002093760637518989
1726,-0.000698263965392645,-0.002094791896177935
1727,-0.0006986074185809447,-0.0020958222557428343
1728,-0.0006989505720058093,-0.002096851716017428
1729,-0.0006992934256022468,-0.00209788027680674
1730,-0.0006996359793056935,-0.0020989079379170805
1731,-0.0006999782330520127,-0.0020999346991560377
1732,-0.0007003201867774937,-0.002100960560332481
1733,-0.0007006618404188515,-0.0021019855212565546
1734,-0.0007010031939132263,-0.002103009581739679
1735,-0.0007013442471981826,-0.002104032741594548
1736,-0.0007016850002117084,-0.002105055000635125
1737,-0.0007020254528922146,-0.0021060763586766436
1738,-0.0007023656051785346,-0.0021070968155356036
1739,-0.0007027054570099232,-0.002108116371029769
1740,-0.0007030450083260562,-0.0021091350249781687
1741,-0.0007033842590670298,-0.002110152777201089
1742,-0.0007037232091733594,-0.002111169627520078
